feature_name,SD21,SDXL,SD3,DALLE3,Midjourney
hog_0232,0.0,0.0036498379802789582,0.021307735001497186,0.0,0.0009883944347892637
hog_0233,0.014451969366050088,0.02498640021298093,0.02650038062495308,0.0,0.008162364785105902
hog_0234,0.0007639535128556307,0.0012947335159378959,0.0,0.014946388233769037,0.0
hog_0235,0.0,0.0,0.007788556297711358,0.0,0.0
hog_0236,0.02159003022850703,0.0,0.0,0.0,0.0
hog_0237,0.0,0.003541956395243906,0.03941915310129218,0.023924841629757276,0.0
hog_0238,0.0,0.0,0.0,0.0,0.0
hog_0239,0.0,0.025506410591841222,0.03349926200392117,0.010052159106864744,0.013513768182313202
hog_0240,0.014157860229787156,0.022036310779587787,0.03937582715790788,0.023373025874271036,0.0
hog_0241,0.011484347585403398,0.0018843960809085125,0.02966065558655928,0.005661613591333214,0.0
hog_0242,0.0066425330186672404,0.014041100473038526,0.0140084447992328,0.012853742079797614,0.011082787704457697
hog_0243,0.0,0.021322912090459223,0.020001998093756024,0.0,0.0
hog_0244,0.00992768660516008,0.04578011928860648,0.03984205029143828,0.01978141198686001,0.00793640344148372
hog_0245,0.01198811492782026,0.0,0.01287585529494617,0.01742571868972731,0.0
hog_0246,0.0,0.0,0.02568794418015674,0.02099227031037576,0.01793159329604177
hog_0247,0.010638726192906622,0.0,0.04107752541194909,0.02657164408617141,0.037244770290554285
hog_0248,0.03999493596994119,0.02556882089978707,0.030393301170164255,0.0069409433210168014,0.022845730643871187
hog_0249,0.0,0.013654619632389009,0.0004458912774865098,0.0,0.0
hog_0250,0.0,0.009516947426038591,0.03683035961455294,0.0,0.0
hog_0251,0.007426614279376631,0.0,0.012884154977995887,0.0,0.0
hog_0252,0.011426564803231232,0.0388777322449656,0.043285482048972534,0.007082184315482021,0.0
hog_0253,0.002746206131268858,0.0,0.04946720370995572,0.0,0.005358628431191059
hog_0254,0.00018715135137026273,0.01645577676135379,0.024867624413954514,0.011874200699541815,0.025642941092735905
hog_0255,0.009863572308508983,0.022034574887862757,0.03971363474944667,0.0,0.009107529579646112
hog_0256,0.0,0.025746117707204697,0.0007606314526797942,0.0,0.0
hog_0257,0.0,0.012116810544823053,0.051725039967039255,0.018569095913545386,0.019541573097985765
hog_0258,0.00536732188526301,0.004324267207097998,0.021647374883029258,0.015558258637524913,0.0
hog_0259,0.0037523750615451323,0.02828761647914635,0.04286129492994628,0.0,0.015586169986858023
hog_0260,0.0,0.011858793578788829,0.006798716245346448,0.0,0.0071793533166553125
hog_0261,0.01425589620070844,0.024099970818915795,0.002455939694213205,0.02244611078718739,0.01796193424943926
hog_0262,0.0,0.013204599060118838,0.04744828989596361,0.006744948869590983,0.019437746237987774
hog_0263,0.0,0.0,0.006006493074073305,0.011885670797947778,0.0
hog_0264,0.0,0.025406548979209465,0.05532835308735917,0.007388844367553604,0.015060916436014038
hog_0265,0.0,0.0,0.010558188441675664,0.0,0.0
hog_0266,0.0,0.0,0.027396554447651766,0.0,0.028374820339190032
hog_0267,0.0,0.031264753556066394,0.02056518535926255,0.0,0.0
hog_0268,0.0,0.013697671672552536,0.028374083061653455,0.0096433821629196,0.0
hog_0269,0.0,0.016258473873447254,0.0,0.0,0.0
hog_0270,0.0,0.0,0.010838642717147406,0.013927450719952272,0.0
hog_0271,0.006831914569655817,0.00819205846158888,0.03264090022599997,0.0014000437052814618,0.003804205671411376
hog_0272,0.005804954688966912,0.01684134141731808,0.020602085092169542,0.0,0.0
hog_0273,0.0024184485713687476,0.0,0.0,0.019532262429017955,0.0
hog_0274,0.01261572773070152,0.012081110693326957,0.01821674851488919,0.0,0.0
hog_0275,0.011157986031349543,0.017053622517342326,0.05145781581364739,0.011992891620733026,0.00563842056366215
hog_0276,0.003994118558416249,0.0,0.00892249039078541,0.0,0.0
hog_0277,0.006897963352222591,0.0,0.03585557662521799,0.015110048613422133,0.02340267144175212
hog_0278,0.0,0.0,0.010983446705175925,0.002128107075151542,0.0
hog_0279,0.0,0.019025369676057613,0.033990774417729686,0.0,0.0
hog_0280,0.004104961973349308,0.008538509212174805,0.03801881455738387,0.008708847670985342,0.0008407695685319627
hog_0281,0.0028211797050747833,0.0,0.01898030249877558,0.0031379566006262127,0.0
hog_0282,0.014193616243332485,0.0,0.028709726040934358,0.02277071962707633,0.0
hog_0283,0.0,0.03118578578014497,0.047955998730525584,0.02511511625359275,0.006695363100522211
hog_0284,0.0,0.008119744678389385,0.02407053942883408,0.0,0.0161315177225807
hog_0285,0.006233650497127208,0.019149004721567442,0.02297790239369002,0.0,0.0
hog_0286,0.0,0.0011191962264298638,0.035216304110958774,0.007923249931198306,0.0
hog_0287,0.0,0.0005895380298792663,0.04166190573447559,0.005825275938556196,0.0
hog_0288,0.014570077943980131,0.03200755807343825,0.007020240628517804,0.03827391985830686,0.0
hog_0289,0.0,0.0024207329932959265,0.019836890982070976,0.0005763522677508792,0.0026844821409734987
hog_0290,0.010225783116492027,0.01911672866475178,0.003949809225524792,0.021062701658138838,0.0
hog_0291,0.0,0.008503565183803241,0.036570232066080344,0.019106276747510975,0.019622564410594734
hog_0292,0.027324823198725312,0.015755500539591738,0.017617229205417084,0.0441688374115754,0.009896861502913357
hog_0293,0.0,0.006525100575349052,0.01539343724568143,0.016328203070947955,0.0
hog_0294,0.008590195790529886,0.010828642194272042,0.022503337368317666,0.012569432444398787,0.005606619711496785
hog_0295,0.004734027847951072,0.005421456935445157,0.04753464425296006,0.0,0.012388552143100418
hog_0296,0.0,0.0011146598775839678,0.05192404286708907,0.0,0.004805752579740474
hog_0297,0.008142243813456407,0.03501942589238127,0.009081267729212028,0.033803288476843996,0.02326205860079944
hog_0298,0.0,0.0,0.03412108215379894,0.0,0.0
hog_0299,0.0,0.03458826518145641,0.02788885880177161,0.0,0.011369485134012258
hog_0300,0.028490634312153595,0.0016898902674495897,0.02614592227346013,0.010257387633528792,0.010278176888686152
hog_0301,0.0,0.008789028271780186,0.0,0.0,0.0011651785424946492
hog_0302,0.0,0.011265015346064944,0.02369168501999175,0.0,0.0
hog_0303,0.030429935037044276,0.034912725914406195,0.022863299320219133,0.04473814336822368,0.023140049274586794
hog_0304,0.00952990234576867,0.013621465417906098,0.030068183075647514,0.025140746717255524,0.0
hog_0305,0.020463884038679048,0.010550550207416354,0.0,0.029696263635561326,0.0017162935834991178
hog_0306,0.0,0.02966884716658158,0.04078920667587482,0.02159134463830359,0.020196963094893716
hog_0307,0.0,0.006746984346339913,0.012282527725757664,0.02870164046117818,0.0
hog_0308,0.012249469814824776,0.0062970773830333115,0.0,0.011324061078609171,0.0
hog_0309,0.009140016569197051,0.0,0.014511576612625365,0.0013856546262847047,0.003967415113113493
hog_0310,0.0,0.0,0.0,0.009593768111066492,0.0
hog_0311,0.0,0.0,0.017832693340562367,0.0,0.006205772358692352
hog_0312,0.01244320193593973,0.0,0.0035905737289398942,0.010122088724215494,0.02876229762951721
hog_0313,0.0,0.0,0.043663802394115825,0.010636192764033936,0.014663108308806905
hog_0314,0.004048525354412913,0.01199072984401739,0.01038962231124363,0.0,0.0
hog_0315,0.0,0.01074603327407786,0.007763123302502395,0.0,0.0
hog_0316,0.0,0.012493352678054626,0.021981953897741713,0.013396866745164937,0.020027397321046303
hog_0317,0.000267330111163977,0.028699361454863404,0.02704370867878536,0.019933566652400536,0.025723650824181155
hog_0318,0.0,0.0,0.015492126568621645,0.0,0.0
hog_0319,0.023550871456023525,0.038410378414401425,0.017982577835361058,0.028230475960995705,0.0
hog_0320,0.0004077953536651968,0.01490110072313855,0.01962748959254257,0.03215487176826981,0.004361937869768795
hog_0321,0.016903493171959383,0.022421982254655415,0.003913089218956278,0.035874752817962374,0.0
