feature_name,family,index,SD21,SDXL,SD3,DALLE3,Midjourney,mean_mi,std_mi,max_mi,stability_score,specificity_ratio
hog_0080,hog,80,0.015475582409752553,0.018875942845301807,0.02330249338899515,0.0,0.0,0.011530803728809902,0.009736569151427253,0.02330249338899515,1.1842777846282593,2.020890470096462
hog_0081,hog,81,0.0,0.0,0.0,0.010949327812263654,0.0,0.0021898655624527307,0.004379731124905461,0.010949327812263654,0.49999988583776683,4.999997716755859
hog_0082,hog,82,0.008260276361863994,0.01607724600642646,0.006823275191165212,0.0,0.0,0.006232159511891133,0.005984446977818747,0.01607724600642646,1.0413925453091954,2.5797227102464118
hog_0083,hog,83,0.000708749685986998,0.00999944585956114,0.021188020794197016,0.0023451507882630285,0.0,0.006848273425601637,0.008005360159938954,0.021188020794197016,0.855460895365008,3.0939211073358233
hog_0084,hog,84,0.015412156252576414,0.03252585256612184,0.037664614675216423,0.008489277179618337,0.024075220802865838,0.02363342429527977,0.010705878836181413,0.037664614675216423,2.2075181729023936,1.5937010486050476
hog_0085,hog,85,0.0,0.01099241984571453,0.01467142613472494,0.0,0.008505351135424721,0.006833839423172838,0.00591469746511963,0.01467142613472494,1.1553994617770624,2.146878654786212
hog_0086,hog,86,0.015663113370793624,0.0,0.03359588799042523,0.02979172473206604,0.0018106158787283277,0.016172268394402646,0.013835683413551044,0.03359588799042523,1.1688809827552216,2.07737622785662
hog_0087,hog,87,0.01682192827618767,0.0,0.011205397319859589,0.03388176412240784,0.004874663175968852,0.013356750578884791,0.01173252360763065,0.03388176412240784,1.1384378917217672,2.5366769698682057
hog_0088,hog,88,0.037683561318099024,0.02110815145304268,0.05162815733295578,0.008177592701048342,0.0014926035830236106,0.024018013277633886,0.01852483500489685,0.05162815733295578,1.2965304130781494,2.1495597736001466
hog_0089,hog,89,0.010846493560220605,0.0,0.012542398010056965,0.016376732351080836,0.025147234797397555,0.012982571743751193,0.008158469285849321,0.025147234797397555,1.5912997521446104,1.9369993370151914
hog_0090,hog,90,0.008855256778272924,0.0,0.0,0.02433900758751606,0.0008235606418669494,0.006803565001531187,0.009381243323087244,0.02433900758751606,0.7252305522826661,3.5773897955922536
hog_0091,hog,91,0.0,0.0,0.01414970242657887,0.0,0.0,0.002829940485315774,0.005659880970631548,0.01414970242657887,0.49999991165893515,4.999998233179015
hog_0092,hog,92,0.02003679652167012,0.02262288056843298,0.04297941420486162,0.01699713966242289,0.019383858674757226,0.02440401792642897,0.0094589033668496,0.04297941420486162,2.580004721472516,1.761161320782125
hog_0093,hog,93,0.0,0.022607063099807645,0.011789753405411219,0.0,0.01199141139040627,0.009277645579125027,0.0085264060076185,0.022607063099807645,1.0881072849132445,2.4367238940394853
hog_0094,hog,94,0.0,0.0,0.01679540878527863,0.0,0.008464599476369239,0.0050520016523295744,0.006724902929920421,0.01679540878527863,0.7512377433158896,3.324505140062416
hog_0095,hog,95,0.02532452898138815,0.0,0.01690529619616754,0.002523036079448593,0.0,0.008950572251400857,0.010323979857882224,0.02532452898138815,0.8669690863062006,2.8293750880620525
hog_0096,hog,96,0.0,0.0,0.014076998491826087,0.024047259811697197,0.0,0.007624851660704657,0.009856376380307199,0.024047259811697197,0.7735957509032603,3.153799933161574
hog_0097,hog,97,0.0,0.0,0.005293298049560136,0.019696564163698138,0.0,0.004997972442651655,0.007629875508927103,0.019696564163698138,0.6550528618391045,3.9409101288157715
hog_0098,hog,98,0.0,0.006534832450094896,0.021312488014529007,0.0031552525633002926,0.0,0.006200514605584839,0.007932841765573222,0.021312488014529007,0.7816258041182534,3.4372122207599523
hog_0099,hog,99,0.018287319011674352,0.03057774734792762,0.016136177051854217,0.01088018155352577,1.0352830158488757e-05,0.015178355559028089,0.009962599558294087,0.03057774734792762,1.523533486082785,2.014562461292291
hog_0100,hog,100,0.0,0.0,0.021457195843118892,0.003377848429797048,0.007891738193161357,0.006545356493215459,0.007998652224689531,0.021457195843118892,0.8183073211639974,3.2782313059844608
hog_0101,hog,101,0.02520617553493043,0.01829204926916206,0.0124368695174355,0.0,0.0,0.011187018864305598,0.009988784907137078,0.02520617553493043,1.1199578175273905,2.253162668938823
